strategy,period,n_months,mean_monthly_pct,vol_monthly_pct,sharpe_ann,cum_return_pct,max_drawdown_pct
MAX,2010-2019,118,0.9605915538999692,5.873714427171922,0.5665217120463134,153.00583050781054,-28.285672965323993
MAX,2020-2024,59,0.5511193640488297,11.406346844961478,0.16737466474452894,-6.651595459482229,-47.765213606216484
MAX,Full sample,177,0.8241008239495893,8.114672213011444,0.3518033656002342,136.17690617352784,-51.65911088296102
MAX_BETA,2010-2019,118,0.9586180708515277,4.2826638711574905,0.7753936585827608,176.85491843451976,-19.399181513068907
MAX_BETA,2020-2024,59,0.6765280746422982,8.648720757687466,0.27097209653477733,18.39686099826505,-47.43954558374068
MAX_BETA,Full sample,177,0.8645880721151179,6.071296567788438,0.4933082914995535,227.78753294577854,-52.43727099640678
