decile,avg_return_MAX,avg_return_MAX_beta
1,0.011947142549870624,0.01327727438091826
2,0.012930926295744499,0.011666412200089099
3,0.009246010457467951,0.010445532784932878
4,0.010895959082272285,0.009015793059917607
5,0.010879817482012766,0.009831524438296844
6,0.010503131451004361,0.010493815439918628
7,0.008778293965187667,0.01048528267656555
8,0.013231403184015087,0.010533627200813377
9,0.007530168100164637,0.008297938559768158
10,0.0037061343103747257,0.004631393659767074
