month,long_return,short_return,long_short_return
2010-03,0.004709025650698978,0.0770738928104851,-0.07236486715978613
2010-04,-0.07396843157289003,-0.11711393236154043,0.0431455007886504
2010-05,-0.029382599732405004,-0.13045280543417326,0.10107020570176825
2010-06,0.054367905852338756,0.1376832699068906,-0.08331536405455184
2010-07,-0.005970043317582057,-0.09459738800806831,0.08862734469048626
2010-08,0.08351175556502671,0.08324226775245268,0.00026948781257403465
2010-09,0.026157002058790294,0.026125119710426956,3.1882348363338614e-05
2010-10,-0.01044012080239368,0.032024856518236264,-0.04246497732062994
2010-11,0.052816580165390606,0.04314429987871814,0.009672280286672469
2010-12,0.015220997585528426,-0.036559090352777754,0.05178008793830618
2011-01,0.04087980395071118,0.05552082176811406,-0.01464101781740288
2011-02,0.005537398787821364,0.02530847347708217,-0.019771074689260808
2011-03,0.04160539779274649,0.033205913905299665,0.008399483887446824
2011-04,-0.004261595645310783,-0.02666457416861222,0.022402978523301437
2011-05,-0.01500718924170705,-0.030407557606113106,0.015400368364406055
2011-06,-0.021222712323031127,-0.007826458359186795,-0.013396253963844333
2011-07,-0.0068572642856247305,-0.04720131488572671,0.040344050600101974
2011-08,-0.02507486146634175,-0.18349243893855235,0.1584175774722106
2011-09,0.06134682620005841,0.1658015398266444,-0.10445471362658598
2011-10,0.015744113546732944,-0.04523561304342958,0.06097972659016253
2011-11,0.027979392915543348,-0.03967177510567565,0.067651168021219
2011-12,0.017218528230586942,0.11711774727103913,-0.09989921904045218
2012-01,0.021053189163740438,0.038341739506990026,-0.017288550343249588
2012-02,0.032637570687666574,0.009788300517609885,0.02284927017005669
2012-03,0.005378880911382117,-0.03701051263565346,0.04238939354703558
2012-04,-0.0353828252543672,-0.08987608522965902,0.05449325997529182
2012-05,0.047067431684229055,0.028436198770832158,0.018631232913396897
2012-06,0.027484600628023624,-0.036113707757511465,0.0635983083855351
2012-07,0.002781188813785498,0.03410921560074926,-0.03132802678696376
2012-08,0.02714154254892997,0.036979971045102006,-0.009838428496172037
2012-09,-0.0008199844617915928,0.020145406509465554,-0.020965390971257148
2012-10,0.0036254893685323743,0.03016519196983656,-0.026539702601304185
2012-11,0.006538996985857125,0.012670169512373021,-0.006131172526515896
2012-12,0.05511297846368079,0.08073167718800485,-0.02561869872432406
2013-01,0.0191705592585267,0.022537636695630726,-0.003367077437104026
2013-02,0.03250894121486987,0.07203030904990666,-0.03952136783503679
2013-03,0.026322212490785774,0.032419082285694296,-0.006096869794908522
2013-04,-0.00453503786261768,0.07318359949008513,-0.0777186373527028
2013-05,-0.003020352007844418,-0.04148008000569103,0.03845972799784661
2013-06,0.051600218270547435,0.08546798750497485,-0.033867769234427414
2013-07,-0.0402342302523438,0.025322540080607508,-0.0655567703329513
2013-08,0.01975609988420703,0.004748206837007293,0.015007893047199737
2013-09,0.04154566229294347,-0.022290915670777338,0.0638365779637208
2013-10,0.023715704579011374,0.037385673580129695,-0.013669969001118321
2013-11,0.012337732746728714,0.03016560119500758,-0.017827868448278866
2013-12,-0.03604284468395657,-0.03372078634892177,-0.0023220583350348004
2014-01,0.036140657246476894,0.09252600437794346,-0.05638534713146657
2014-02,0.02899735917149176,-0.08067971686542852,0.10967707603692028
2014-03,0.021280115663865937,-0.11205770679545708,0.13333782245932302
2014-04,0.018220188328366402,0.006869926445371193,0.011350261882995209
2014-05,0.017477362113314694,0.10346335709690593,-0.08598599498359125
2014-06,-0.01535060360489257,-0.0707184152365422,0.055367811631649624
2014-07,0.04094677387476168,0.025366399234837012,0.015580374639924666
2014-08,-0.015381996912508206,-0.048851168616315145,0.033469171703806935
2014-09,0.02278617802342976,0.013318031097655527,0.009468146925774232
2014-10,0.033880086310588135,0.015028767370476048,0.018851318940112088
2014-11,-0.00048453600573045944,-0.011619729794134536,0.011135193788404076
2014-12,-0.01888359560633854,0.0007221392853716916,-0.019605734891710233
2015-01,0.050348280128541055,0.054688677941150114,-0.004340397812609059
2015-02,-0.00197027258654181,-0.016940840819924693,0.014970568233382883
2015-03,0.023292251616811813,-0.02513470341071086,0.04842695502752267
2015-04,0.014658627596134326,-0.010871195084217218,0.025529822680351547
2015-05,-0.024118883858656775,-0.024491586814167337,0.0003727029555105621
2015-06,0.006849745002490666,-0.019955254448882378,0.026804999451373043
2015-07,-0.052095109878194525,-0.04002801573068814,-0.012067094147506383
2015-08,-0.0012131387298898837,-0.14552190882721208,0.1443087700973222
2015-09,0.05749550760587694,0.03149567241741603,0.025999835188460912
2015-10,0.0024676222245046823,0.03597281271026995,-0.033505190485765265
2015-11,-0.009412569533474895,-0.01288203096727272,0.003469461433797824
2015-12,-0.03656464176849765,-0.1723228677248692,0.13575822595637155
2016-01,0.013317505394816916,0.001950137860121757,0.01136736753469516
2016-02,0.05338474284303608,0.14763657050411294,-0.09425182766107687
2016-03,-0.00011915281091030157,0.20577508502130715,-0.20589423783221744
2016-04,0.015342367771972875,-0.05003006261643502,0.0653724303884079
2016-05,0.03222318185902052,-0.04015913705862166,0.07238231891764219
2016-06,0.032806929728502764,0.06864887413186041,-0.035841944403357646
2016-07,-0.008919193634710417,-0.007553632693728412,-0.001365560940982005
2016-08,-0.0013290287687011313,0.05322440230875623,-0.054553431077457366
2016-09,-0.015063204397700857,-0.10151686647300268,0.08645366207530182
2016-10,0.02742788988282558,0.05728520612316269,-0.029857316240337106
2016-11,0.025699336570928214,-0.0037335562261288434,0.029432892797057058
2016-12,0.02226998956388014,0.04436952285740279,-0.022099533293522648
2017-01,0.04578677261562712,0.00239186221352661,0.043394910402100514
2017-02,0.005832868275231043,0.0050973289383425095,0.0007355393368885339
2017-03,0.016398530009678555,-0.054390072355231044,0.0707886023649096
2017-04,0.011078751396672578,-0.016873830920265093,0.02795258231693767
2017-05,0.020711524078218944,0.0154610036045654,0.005250520473653543
2017-06,0.01622418727719339,0.009891368886497467,0.006332818390695924
2017-07,0.0004721684868534568,-0.015300035703332326,0.015772204190185782
2017-08,0.01541090422975926,0.08064789891114958,-0.06523699468139033
2017-09,0.023298984574166865,-0.021280374060678345,0.04457935863484521
2017-10,0.032884359383815835,0.023509491032896183,0.009374868350919652
2017-11,0.005202588381570287,0.039020712293848486,-0.0338181239122782
2017-12,0.04362286108774723,0.024094127882411824,0.019528733205335408
2018-01,-0.052657331764250644,-0.019819122844774172,-0.032838208919476475
2018-02,-0.009326789257692343,0.0009628190104779796,-0.010289608268170323
2018-03,-0.0017039199556147663,-0.003850041892928577,0.0021461219373138107
2018-04,-0.002999449893057972,0.06920796052706914,-0.07220741042012711
2018-05,0.018697113239028437,0.024375150970096737,-0.0056780377310683
2018-06,0.05190940391553879,-0.02992450680395754,0.08183391071949633
2018-07,0.0240618599641794,0.07753178905912227,-0.053469929094942865
2018-08,0.004516805567733497,-0.019119549978838093,0.02363635554657159
2018-09,-0.0492180480789736,-0.21675355492338555,0.16753550684441196
2018-10,0.033310875622861384,0.0027177714499639727,0.03059310417289741
2018-11,-0.08486270221233301,-0.11676404493106216,0.031901342718729145
2018-12,0.07690530564854903,0.18209453154248834,-0.10518922589393931
2019-01,0.025885643832980396,0.01883677165700176,0.007048872175978636
2019-02,0.017678104758765054,0.013605382031280084,0.004072722727484971
2019-03,0.04907010211143227,-0.026804869106235953,0.07587497121766823
2019-04,-0.02671365158076673,-0.14568228223597496,0.11896863065520823
2019-05,0.06365805419204108,0.09350747873679428,-0.0298494245447532
2019-06,0.01607811885819587,-0.02686396329456883,0.042942082152764696
2019-07,0.0012741567877944588,-0.06864590539719802,0.06992006218499247
2019-08,0.03126824632252869,-0.06040725670490861,0.0916755030274373
2019-09,0.007001760464951305,-0.01625798360877982,0.023259744073731124
2019-10,0.014519890568008873,0.07506663268387175,-0.060546742115862875
2019-11,0.017593616042963313,0.07458591234351886,-0.056992296300555544
2019-12,0.014461991700465167,-0.05740743498650965,0.07186942668697482
2020-01,-0.08953712937855876,-0.01270742091743147,-0.07682970846112729
2020-02,-0.12385068536386787,-0.17955109444872516,0.055700409084857294
2020-03,0.1634154295808228,0.2057857301034925,-0.042370300522669685
2020-04,0.034678108654667354,0.08744883559327798,-0.05277072693861063
2020-05,0.02494085001277406,0.09045550520678193,-0.06551465519400787
2020-06,0.06841974726248815,-0.10005018006888096,0.16846992733136912
2020-07,0.048118328153509346,0.3644839031541278,-0.31636557500061846
2020-08,-0.01484081465176216,-0.08488403630919159,0.07004322165742942
2020-09,-0.033671931806060866,-0.07541802156624487,0.041746089760184006
2020-10,0.09133222755643929,0.21580074564305535,-0.12446851808661606
2020-11,0.018939771397023433,0.017452687213849023,0.0014870841831744093
2020-12,-0.010996590242891608,0.19975661217729299,-0.21075320242018458
2021-01,0.021364495300529793,-0.10673290725904545,0.12809740255957525
2021-02,0.05621595230407138,-0.0532218557278902,0.10943780803196157
2021-03,0.06051656630757099,-0.08423718868399441,0.1447537549915654
2021-04,0.019103076600041055,-0.004255128189909052,0.023358204789950106
2021-05,0.0001168139242148812,0.10365173352204853,-0.10353491959783365
2021-06,0.017914230435289065,-0.1331685319151873,0.15108276235047635
2021-07,-0.0002182388904791442,0.04321276789565785,-0.043431006786137
2021-08,-0.034418175104309716,-0.0346419393124453,0.00022376420813558645
2021-09,0.03056102057435269,0.10147282229320012,-0.07091180171884742
2021-10,-0.008017474697151344,-0.04391527804202532,0.03589780334487398
2021-11,0.0720651522004672,-0.11819988637082006,0.19026503857128726
2021-12,-0.009342237480296842,-0.21693928444114882,0.207597046960852
2022-01,-0.01648578855630733,-0.037545707058279115,0.021059918501971784
2022-02,0.008202063589952477,-0.0012364952843836106,0.009438558874336088
2022-03,0.0013998073916423623,-0.23120254863508097,0.23260235602672333
2022-04,-0.0013010999415406562,-0.044885347824092425,0.04358424788255177
2022-05,-0.0002528241688938505,-0.13029686758131032,0.13004404341241646
2022-06,0.004463620144221125,0.11423739111213538,-0.10977377096791426
2022-07,0.0022143725369480507,0.02322684959799142,-0.02101247706104337
2022-08,0.0004319223778544396,-0.11227769098859225,0.11270961336644669
2022-09,0.015219244253328908,0.027287838752773127,-0.012068594499444219
2022-10,0.002044718083660814,-0.016967620053018096,0.01901233813667891
2022-11,0.005020101416617702,-0.07270612529265201,0.07772622670926971
2022-12,-0.002417777590670405,0.07318210706277577,-0.07559988465344618
2023-01,-0.004928230843710684,0.10447196711995548,-0.10940019796366617
2023-02,-0.016492932991621943,0.13512792897456544,-0.15162086196618738
2023-03,0.023307904673270936,-0.052758497773344515,0.07606640244661544
2023-04,-0.016576392685062773,-0.021862471537239636,0.005286078852176863
2023-05,0.04808804435475429,0.10635453935951932,-0.05826649500476502
2023-06,0.013363512782972441,0.10188624321252916,-0.08852273042955672
2023-07,-0.01733173842988633,-0.17201037458412266,0.15467863615423633
2023-08,-0.03308758119301414,-0.09632930783472592,0.06324172664171178
2023-09,-0.019937167907608855,-0.0980272886024848,0.07809012069487595
2023-10,0.0787865161527653,0.1013396753183313,-0.022553159165565995
2023-11,0.02256644740797323,0.16890392779440566,-0.14633748038643243
2023-12,0.02310784858265807,-0.09243546921524864,0.11554331779790672
2024-01,0.02171269886948777,0.23394582807376418,-0.21223312920427642
2024-02,0.021488176857800974,0.06470485179561766,-0.04321667493781669
2024-03,-0.03826334462465467,-0.1401483770632094,0.10188503243855473
2024-04,0.019915341270523957,-0.0241583773484155,0.04407371861893945
2024-05,0.002107951827204122,-0.053904787460552814,0.056012739287756935
2024-06,0.05619169465346999,0.0085668089669365,0.04762488568653349
2024-07,0.04422766351002212,-0.047844304515627684,0.0920719680256498
2024-08,0.012609984811412282,0.03384642568939798,-0.0212364408779857
2024-09,-0.028939351318210276,0.07865677763720974,-0.10759612895542002
2024-10,0.04056985561042366,0.27292102928095663,-0.23235117367053298
2024-11,-0.02358358469153299,-0.05857137657000473,0.034987791878471744
